训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:80
	经验回放类大小:20000
	一次采样数：1024
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:40
	经验回放类大小:50000
	一次采样数：1024
第1局, 当前小蛇平均长度为:3.72, 小蛇平均存活步数为:13.97, 探索率为:0.30
第2局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:14.23, 探索率为:0.29
第3局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:14.74, 探索率为:0.29
第4局, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:15.39, 探索率为:0.29
第5局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:14.24, 探索率为:0.29
第6局, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:17.25, 探索率为:0.28
第7局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:15.49, 探索率为:0.28
第8局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:15.04, 探索率为:0.28
第9局, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:15.02, 探索率为:0.27
第10局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:14.31, 探索率为:0.27
第11局, 当前小蛇平均长度为:3.86, 小蛇平均存活步数为:14.11, 探索率为:0.27
第12局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:13.24, 探索率为:0.27
第13局, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:14.47, 探索率为:0.26
第14局, 当前小蛇平均长度为:3.85, 小蛇平均存活步数为:15.05, 探索率为:0.26
第15局, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:13.69, 探索率为:0.26
第16局, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:13.62, 探索率为:0.26
第17局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:12.85, 探索率为:0.25
第18局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:14.69, 探索率为:0.25
